,date,state,cases,deaths
22517,2020-03-31,Kentucky,2,1
22518,2020-03-31,Kentucky,1,0
22519,2020-03-31,Kentucky,5,0
22520,2020-03-31,Kentucky,4,1
22521,2020-03-31,Kentucky,4,0
22522,2020-03-31,Kentucky,1,0
22523,2020-03-31,Kentucky,1,0
22524,2020-03-31,Kentucky,2,0
22525,2020-03-31,Kentucky,2,0
22526,2020-03-31,Kentucky,6,1
22527,2020-03-31,Kentucky,1,0
22528,2020-03-31,Kentucky,3,0
22529,2020-03-31,Kentucky,6,0
22530,2020-03-31,Kentucky,2,0
22531,2020-03-31,Kentucky,8,0
22532,2020-03-31,Kentucky,8,0
22533,2020-03-31,Kentucky,34,1
22534,2020-03-31,Kentucky,2,0
22535,2020-03-31,Kentucky,106,2
22536,2020-03-31,Kentucky,1,0
